names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
TC*2/WGRC11_4-2-4	Tc*2/Lr42	4-2-4	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	TR	2.00	0.20	0.40	5RMR	5.00	0.27	1.35	22+	;	2+	6	6	6
TC*2/AM25E11-2A	Tc*2Lr46	Tc/Am25e 11-2a	5-10RMR	10.00	0.27	2.70	30MSS	30.00	0.87	26.10	40 MS	40.00	0.80	32.00	TR	2.00	0.20	0.40	20MRMS	20.00	0.53	10.60	3+	2+	2+	0	4	2
PAVON753	Lr47	Pavon753	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	0;	0;	;	14	7	10.5
BRAMBLING	Brambling		TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	10 RMR	10.00	0.27	2.70	TR	2.00	0.20	0.40	10MRMS	10.00	0.53	5.30	2+	3+	3+	8	6	7
PARULA__S	Parula		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	;2+3	;1	3+	12	6	9
PAVON76	Pavon 76		40MRMS	40.00	0.53	21.20	30MSS	30.00	0.87	26.10	40 MRMS	40.00	0.53	21.20	30MRMS	30.00	0.53	15.90	10MR/70S	30.00	0.60	18.00	0;	0;	3+;	10	4	7
ATILLA_2_STAR	Atilla*2/Star		20MS	20.00	0.80	16.00	10MRMS	10.00	0.53	5.30	TR	2.00	0.20	0.40	-	NA	NA	NA	40MRMS	40.00	0.53	21.20	;12	;12	3	-	4	4
AC_TABER	AC Taber		10R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	30 MR	30.00	0.40	12.00	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	2+	;1	;13+	14	4	9
AC_CRYSTAL	AC Crystal		60MRMS	60.00	0.53	31.80	30RMR	30.00	0.27	8.10	10 MR	10.00	0.40	4.00	20RMR	20.00	0.27	5.40	30MRMS	30.00	0.53	15.90	-	;1	-	16	12	14
AC_ELSA	AC Elsa		20MRMS	20.00	0.53	10.60	TR	2.00	0.20	0.40	10 MS	10.00	0.80	8.00	20RMR	20.00	0.27	5.40	20MS	20.00	0.80	16.00	-	2	-	6	5	5.5
AC_KARMA	AC Karma		30MS	30.00	0.80	24.00	60S	60.00	1.00	60.00	40 MRMS	40.00	0.53	21.20	-	NA	NA	NA	20MS	20.00	0.80	16.00	;12-	2	22+	-	12	12
AC_DOMAIN	AC Domain		50MRMS	50.00	0.53	26.50	50S	50.00	1.00	50.00	20 MR	20.00	0.40	8.00	40MSS	40.00	0.87	34.80	30MS	30.00	0.80	24.00	;	2	22+	6	4	5
GLENLEA	Glenlea		10MS	10.00	0.80	8.00	TR	2.00	0.20	0.40	30 MRMS	30.00	0.53	15.90	20MSS	20.00	0.87	17.40	10MS	10.00	0.80	8.00	0;	0;	3+	4	12	8
CDC_BOUNTY	CDC Bounty		30MS	30.00	0.80	24.00	5MS	5.00	0.80	4.00		NA	NA	NA	-	NA	NA	NA	40MS	40.00	0.80	32.00	3+	3+	3+	-	12	12
AC_CADILLAC	AC Cadillac		10MS	10.00	0.80	8.00	5MS	5.00	0.80	4.00	20 MRMS	20.00	0.53	10.60	20M	20.00	0.60	12.00	30MS	30.00	0.80	24.00	0;	0;	3+	6	12	9
